guid,tag
529,negative
678,neutral
4685,negative
3166,negative
3625,negative
4368,negative
723,negative
1257,negative
1286,negative
3533,neutral
3010,negative
5001,negative
1734,negative
4396,negative
4295,negative
2674,negative
4419,negative
4282,negative
4488,negative
348,negative
2370,neutral
4195,negative
2478,negative
1379,negative
4458,negative
2015,negative
382,negative
1332,negative
957,negative
4880,negative
1904,neutral
3169,negative
4141,neutral
2007,neutral
4819,negative
1373,negative
5068,negative
2839,negative
377,negative
962,neutral
3880,negative
2110,neutral
428,neutral
3365,negative
1735,negative
4639,negative
4571,negative
1662,neutral
3448,negative
4977,negative
1026,neutral
4707,neutral
1359,negative
4802,negative
589,negative
2817,negative
1775,negative
3689,neutral
2567,negative
2745,neutral
1517,negative
1242,neutral
2983,negative
4168,negative
3406,neutral
2577,negative
3719,negative
3048,negative
5071,neutral
3591,neutral
4823,negative
3375,neutral
836,negative
4144,neutral
2741,negative
3616,negative
2455,negative
1761,negative
1403,negative
905,neutral
4331,negative
1663,negative
3988,negative
4352,negative
3512,negative
335,neutral
551,negative
4873,negative
2330,negative
4180,negative
531,neutral
4852,negative
4433,negative
1703,negative
2693,negative
1916,negative
3136,negative
3905,negative
422,negative
3569,negative
2326,negative
2940,negative
3210,negative
3106,negative
921,negative
4265,negative
2944,negative
826,negative
2848,negative
3602,neutral
4535,negative
779,neutral
784,negative
2975,negative
2528,negative
830,negative
1372,negative
2526,negative
3187,negative
1139,negative
2618,negative
4435,negative
2691,negative
2064,negative
4102,neutral
3838,negative
3150,negative
3394,negative
2639,negative
4098,neutral
3444,negative
4393,negative
2658,neutral
3986,negative
1390,neutral
992,negative
4386,negative
668,negative
3781,negative
3333,neutral
4522,negative
1218,negative
909,negative
782,negative
1705,negative
3834,neutral
64,negative
2388,neutral
4325,negative
194,negative
1581,neutral
3501,negative
1457,neutral
3918,negative
5004,negative
1310,neutral
3129,negative
2869,neutral
2985,neutral
999,neutral
119,negative
959,negative
5116,negative
4156,negative
1819,negative
3750,negative
818,negative
3281,negative
3078,negative
1124,negative
1937,negative
2335,negative
4640,negative
910,negative
2703,negative
3980,negative
2896,negative
4427,negative
3659,negative
1785,negative
1308,neutral
2937,neutral
2935,neutral
3523,neutral
1363,negative
4116,neutral
3171,negative
4502,neutral
3040,negative
2993,negative
3968,negative
4332,negative
700,negative
4799,neutral
4478,negative
3668,negative
1293,negative
550,negative
4456,negative
3433,negative
3354,negative
1492,negative
750,negative
1087,negative
1622,neutral
4480,negative
4108,neutral
4514,negative
80,negative
3943,negative
2403,negative
331,negative
4150,neutral
672,negative
760,neutral
4157,negative
1722,neutral
4932,neutral
2124,negative
2925,neutral
1340,negative
2375,neutral
1566,negative
2163,negative
4186,neutral
2840,negative
3951,negative
869,negative
4359,negative
2868,neutral
5105,negative
954,negative
3547,negative
1649,neutral
1399,negative
4921,negative
3923,negative
4746,negative
4627,negative
4125,negative
3311,negative
3087,negative
1958,negative
871,negative
2581,negative
3662,negative
4113,neutral
920,negative
1451,negative
1883,negative
2165,neutral
4948,negative
1174,negative
1060,negative
4441,negative
364,negative
1871,neutral
3827,negative
2548,negative
52,negative
4107,negative
699,negative
5082,negative
899,negative
3612,neutral
4452,negative
727,negative
4371,negative
4124,neutral
2453,neutral
3478,negative
2666,negative
2917,neutral
3130,negative
574,negative
3015,neutral
1856,negative
1486,negative
3460,neutral
117,neutral
1740,negative
1144,neutral
4185,negative
1246,negative
1876,neutral
1089,neutral
2762,neutral
405,neutral
1528,negative
2948,negative
448,negative
2885,negative
4347,negative
857,neutral
3856,neutral
3508,negative
3075,negative
4826,negative
856,negative
1909,neutral
3678,neutral
1823,negative
3831,negative
3771,negative
3344,negative
1115,negative
3509,negative
2102,neutral
3163,neutral
3934,negative
3317,neutral
1397,neutral
418,negative
2794,negative
4762,negative
3496,negative
3191,negative
1117,negative
2650,negative
4630,neutral
4129,neutral
2012,neutral
4211,negative
159,negative
768,negative
1592,negative
1327,negative
1436,negative
46,neutral
3123,negative
297,negative
1774,negative
2633,negative
3313,negative
5053,negative
354,negative
505,neutral
3299,neutral
3213,negative
1250,negative
3414,negative
4943,negative
2784,neutral
2329,negative
370,negative
720,neutral
430,negative
2128,negative
1347,negative
333,negative
2354,negative
2786,neutral
1538,negative
2959,negative
3966,negative
1122,negative
3581,negative
4418,negative
2924,neutral
3549,negative
3463,neutral
1809,negative
1455,negative
3755,negative
4566,neutral
1247,negative
3474,neutral
4863,neutral
1544,negative
3534,negative
4856,negative
1951,negative
1924,negative
130,negative
1714,neutral
2551,negative
5113,negative
4092,neutral
5073,negative
4474,negative
4111,neutral
1881,negative
2945,negative
2654,negative
4006,negative
4362,negative
586,neutral
1710,negative
3320,negative
3064,negative
4625,neutral
4222,negative
2667,negative
1445,negative
4517,negative
1818,negative
3875,negative
2651,negative
2603,negative
2158,negative
5077,negative
3953,negative
2075,negative
2976,negative
1891,negative
1579,neutral
1069,negative
1254,negative
1443,negative
1599,neutral
4812,neutral
2836,negative
4210,negative
3329,neutral
2077,neutral
155,neutral
105,neutral
1862,neutral
4662,neutral
930,negative
5106,negative
3844,neutral
1950,negative
1603,neutral
1012,neutral
1027,negative
778,negative
3358,negative
3047,negative
4814,negative
2450,neutral
3550,negative
3553,negative
4333,negative
4543,negative
3413,negative
3480,negative
4472,negative
4085,neutral
1179,neutral
3445,negative
4013,negative
1336,negative
4335,negative
2584,negative
203,negative
1928,negative
628,negative
4445,neutral
1808,neutral
4658,negative
4622,negative
2067,negative
3984,negative
1913,negative
2578,negative
2005,neutral
4364,negative
375,negative
1841,negative
19,negative
4645,neutral
883,negative
4035,negative
4115,neutral
1051,neutral
4303,negative
671,negative
4698,neutral
3946,negative
2153,neutral
1893,negative
1873,negative
3605,neutral
4470,negative
285,negative
189,negative
4330,negative
1894,negative
4815,negative
687,negative
1754,negative
4056,negative
4155,negative
1707,negative
580,neutral
972,negative
3979,negative
3652,negative
1961,negative
1919,negative
4665,neutral
1589,negative
390,negative
908,negative
2981,neutral
4469,negative
552,neutral
3617,neutral
1681,negative
2655,neutral
3883,negative
4084,neutral
4851,negative
4487,negative
3779,negative
2804,neutral
3551,negative
4544,negative
4136,negative
2887,negative
2890,negative
1045,neutral
1511,neutral
1042,neutral
2334,negative
794,neutral
2736,neutral
110,negative
3656,negative
2095,neutral
4225,negative
323,negative
4355,negative
4067,negative
587,neutral
4224,negative
4413,negative
2671,negative
1549,neutral
1551,neutral
4716,negative
4005,negative
2013,negative
4686,negative
3826,negative
3935,negative
1159,negative
4079,negative
2038,neutral
3432,neutral
3283,negative
4296,negative
708,neutral
4917,negative
3869,neutral
2908,negative
3310,negative
3411,negative
3284,negative
3902,negative
1571,negative
528,neutral
1510,negative
4139,negative
4718,negative
4076,negative
3795,negative
3090,negative
1947,negative
1770,negative
623,neutral
3695,negative
3887,negative
4388,negative
1851,negative
258,negative
1016,neutral
1238,neutral
4197,negative
1188,neutral
1296,negative
4183,negative
901,negative
5110,negative
4929,negative
4059,negative
2738,neutral
1344,negative
1265,negative
3933,negative
1780,negative
4688,negative
449,neutral
1602,negative
2899,negative
2755,neutral
3515,negative
2147,negative
3072,neutral
273,negative
2705,neutral
2864,neutral
3108,negative
3800,negative
4425,neutral
4349,negative
3952,negative
1527,negative
546,neutral
3513,negative
4669,neutral
4191,negative
886,negative
4816,negative
3770,negative
5094,negative
5055,negative
1294,negative
4057,negative
1670,negative
4381,negative
2714,negative
384,negative
3620,neutral
2790,neutral
4905,negative
922,negative
165,neutral
1741,negative
2474,negative
877,negative
786,negative
3585,negative
2111,neutral
461,negative
4647,negative
3491,negative
3419,negative
4606,negative
3043,neutral
4467,negative
3117,negative
935,negative
2895,negative
3819,negative
1694,negative
1959,negative
25,neutral
3168,negative
2350,negative
3134,negative
2731,neutral
2766,negative
4380,negative
636,negative
2389,neutral
3356,negative
2345,negative
3436,negative
3773,negative
253,negative
1513,negative
1418,negative
4090,neutral
3456,negative
4794,negative
4623,negative
1905,neutral
4457,negative
3060,negative
1854,negative
4717,negative
1674,neutral
108,neutral
3962,negative
2360,negative
2105,negative
3370,negative
581,neutral
3685,neutral
4652,negative
1319,negative
3180,neutral
1911,neutral
4146,negative
3938,negative
4394,negative
3694,negative
4760,neutral
4182,negative
5123,negative
4105,neutral
2936,negative
33,neutral
4476,negative
4708,negative
4878,negative
4896,negative
3079,negative
1162,neutral
2730,neutral
361,negative
208,negative
4003,negative
4632,negative
3733,negative
4599,neutral
2684,neutral
2929,negative
3954,negative
2933,neutral
2979,neutral
10,negative
1147,negative
4264,negative
4653,negative
3377,neutral
5117,negative
2001,negative
4533,negative
356,neutral
2586,negative
3499,negative
3212,neutral
2025,negative
3828,negative
697,negative
1307,negative
819,negative
3717,neutral
2742,negative
808,negative
255,negative
3159,neutral
667,negative
4650,neutral
5019,negative
4918,negative
1946,negative
4820,negative
4464,negative
4537,neutral
2685,negative
1202,negative
2333,negative
4007,negative
1400,neutral
400,negative
4008,negative
1471,neutral
947,negative
1010,negative
559,negative
1783,negative
4415,negative
27,neutral
158,negative
4966,negative
2131,negative
3094,neutral
1885,negative
680,negative
4836,negative
3944,negative
4874,negative
246,negative
766,positive
3613,positive
2323,positive
2999,positive
4935,positive
4638,positive
4992,positive
1092,positive
156,positive
1414,positive
5051,positive
1764,positive
3871,positive
2008,positive
171,positive
475,positive
2770,positive
3932,positive
971,positive
267,positive
1019,positive
1594,positive
4600,positive
4323,positive
1653,positive
4670,positive
997,positive
2811,positive
369,positive
715,positive
1467,positive
4642,positive
4961,positive
305,positive
3428,positive
2910,positive
4033,positive
1289,positive
2161,positive
2965,positive
3718,positive
2498,positive
1126,positive
1283,positive
2557,positive
4973,positive
3813,positive
1177,positive
3643,positive
762,positive
2830,positive
3759,positive
820,positive
5103,positive
2458,positive
858,positive
1098,positive
1198,positive
616,positive
1888,positive
1702,positive
4674,positive
5060,positive
5093,positive
1171,positive
2901,positive
242,positive
5036,positive
4353,positive
4713,positive
1120,positive
3740,positive
773,positive
3888,positive
4954,positive
2011,positive
3928,positive
940,positive
765,positive
1062,positive
3506,positive
1405,positive
900,positive
1303,positive
3473,positive
3485,positive
895,positive
213,positive
649,positive
4594,positive
4409,positive
4199,positive
3024,positive
1634,positive
545,positive
2953,positive
1176,positive
172,positive
2542,positive
4655,positive
990,positive
850,positive
950,positive
691,positive
308,positive
5079,positive
2014,positive
2034,positive
2613,positive
4460,positive
1049,positive
1683,positive
1582,positive
4042,positive
472,positive
763,positive
860,positive
2427,positive
3404,positive
1518,positive
3890,positive
2506,positive
3990,positive
3912,positive
1072,positive
4702,positive
3713,positive
3716,positive
4946,positive
4955,positive
4881,positive
2594,positive
3818,positive
3706,positive
1897,positive
2593,positive
3489,positive
2972,positive
3611,positive
1658,positive
4051,positive
3681,positive
2376,positive
736,positive
3388,positive
3753,positive
4496,positive
1796,positive
704,positive
1704,positive
3675,positive
4193,positive
513,positive
1632,positive
57,positive
2020,positive
853,positive
3596,positive
170,positive
1256,positive
3517,positive
3341,positive
3389,positive
4018,positive
100,positive
517,positive
1415,positive
607,positive
4679,positive
4579,positive
4181,positive
1127,positive
598,positive
3964,positive
1626,positive
634,positive
4497,positive
4149,positive
2900,positive
2081,positive
5126,positive
3899,positive
271,positive
3592,positive
3682,positive
138,positive
889,positive
810,positive
4672,positive
1960,positive
1215,positive
4618,positive
2508,positive
154,positive
3232,positive
4283,positive
300,positive
3729,positive
643,positive
3548,positive
5018,positive
3071,positive
4991,positive
4699,positive
3837,positive
4534,positive
3065,positive
5033,positive
2471,positive
3526,positive
3737,positive
737,positive
1235,positive
1291,positive
1654,positive
5063,positive
2932,positive
3440,positive
2000,positive
2049,positive
3142,positive
1801,positive
2954,positive
3500,positive
231,positive
3679,positive
4747,positive
3796,positive
3067,positive
1953,positive
3068,positive
1688,positive
2456,positive
3162,positive
1432,positive
4068,positive
1900,positive
3127,positive
3822,positive
3361,positive
878,positive
3037,positive
3030,positive
4574,positive
968,positive
2695,positive
814,positive
4976,positive
3560,positive
1325,positive
1613,positive
758,positive
4361,positive
3408,positive
2494,positive
2765,positive
2031,positive
4694,positive
3812,positive
4895,positive
3658,positive
2874,positive
764,positive
885,positive
1499,positive
1448,positive
555,positive
3939,positive
4251,positive
1970,positive
3443,positive
1555,positive
2591,positive
2059,positive
2683,positive
2996,positive
1711,positive
3754,positive
1320,positive
2074,positive
4237,positive
83,positive
3603,positive
3811,positive
3541,positive
4482,positive
1562,positive
4789,positive
1623,positive
3219,positive
1984,positive
510,positive
831,positive
1030,positive
1428,positive
1921,positive
2941,positive
21,positive
3910,positive
1114,positive
3088,positive
4859,positive
1728,positive
1273,positive
1011,positive
1469,positive
1137,positive
1792,positive
3286,positive
1387,positive
274,positive
3323,positive
2884,positive
970,positive
1720,positive
4521,positive
1206,positive
4549,positive
36,positive
3574,positive
1449,positive
1018,positive
4392,positive
712,positive
2529,positive
862,positive
2595,positive
3621,positive
270,positive
2079,positive
1166,positive
1466,positive
1727,positive
3783,positive
4607,positive
4305,positive
1799,positive
3104,positive
34,positive
556,positive
2559,positive
4516,positive
1637,positive
1119,positive
4437,positive
4930,positive
3843,positive
5041,positive
4017,positive
3021,positive
1077,positive
3009,positive
1557,positive
2856,positive
1726,positive
5129,positive
2006,positive
4189,positive
2142,positive
432,positive
3607,positive
4444,positive
1980,positive
263,positive
1149,positive
5080,positive
4868,positive
2368,positive
210,positive
241,positive
2952,positive
228,positive
1925,positive
1795,positive
966,positive
3691,positive
4808,positive
4503,positive
1731,positive
562,positive
1236,positive
378,positive
2822,positive
1472,positive
3594,positive
1054,positive
499,positive
2052,positive
1079,positive
4809,positive
91,positive
498,positive
2806,positive
161,positive
137,positive
4641,positive
3763,positive
3676,positive
4232,positive
1438,positive
4787,positive
79,positive
1651,positive
4252,positive
1598,positive
2028,positive
799,positive
3334,positive
646,positive
1719,positive
5042,positive
329,positive
1496,positive
2065,positive
5045,positive
4861,positive
1917,positive
1033,positive
3762,positive
78,positive
4438,positive
1083,positive
2097,positive
427,positive
4978,positive
4233,positive
3840,positive
3236,positive
4611,positive
3649,positive
4215,positive
1442,positive
2878,positive
420,positive
3472,positive
1015,positive
4779,positive
4123,positive
4408,positive
3369,positive
4339,positive
3861,positive
3680,positive
1013,positive
3623,positive
1086,positive
4875,positive
35,positive
3976,positive
2432,positive
5030,positive
4775,positive
1112,positive
797,positive
3970,positive
4439,positive
2963,positive
1262,positive
915,positive
3497,positive
1211,positive
3238,positive
4631,positive
2386,positive
3057,positive
1335,positive
1962,positive
1966,positive
1391,positive
1160,positive
1636,positive
4550,positive
815,positive
3802,positive
2951,positive
2994,positive
3128,positive
1815,positive
2533,positive
4285,positive
4270,positive
3241,positive
2004,positive
28,positive
4869,positive
604,positive
1956,positive
684,positive
612,positive
1563,positive
4743,positive
2813,positive
3576,positive
2489,positive
1447,positive
1825,positive
4565,positive
1991,positive
1753,positive
2596,positive
2601,positive
4800,positive
3352,positive
1287,positive
3860,positive
4975,positive
1934,positive
663,positive
3767,positive
76,positive
3926,positive
144,positive
592,positive
466,positive
4805,positive
4897,positive
620,positive
917,positive
1629,positive
1736,positive
2500,positive
1826,positive
4609,positive
995,positive
240,positive
1007,positive
3148,positive
226,positive
4556,positive
1004,positive
2902,positive
809,positive
665,positive
53,positive
4886,positive
3427,positive
4011,positive
2080,positive
2364,positive
1346,positive
162,positive
3200,positive
662,positive
2314,positive
4950,positive
1275,positive
2707,positive
3132,positive
1161,positive
4373,positive
3907,positive
3640,positive
3697,positive
741,positive
1154,positive
4865,positive
2032,positive
2507,positive
1463,positive
3635,positive
4528,positive
647,positive
1773,positive
3805,positive
2138,positive
843,positive
4436,positive
3029,positive
3466,positive
1234,positive
781,positive
3940,positive
2919,positive
525,positive
1110,positive
2634,positive
1355,positive
791,positive
1724,positive
3921,positive
71,positive
564,positive
128,positive
3461,positive
192,positive
2978,positive
571,positive
3479,positive
4576,positive
4749,positive
4501,positive
2600,positive
864,positive
2010,positive
177,positive
557,positive
4504,positive
610,positive
4499,positive
3504,positive
2767,positive
4588,positive
193,positive
2160,positive
3373,positive
1788,positive
619,positive
4043,positive
225,positive
1550,positive
3335,positive
3340,positive
276,positive
3589,positive
1225,positive
3098,positive
283,positive
710,positive
2502,positive
3446,positive
441,positive
3809,positive
2716,positive
4536,positive
1008,positive
1064,positive
5044,positive
4740,positive
4261,positive
3631,positive
2130,positive
3645,positive
1151,positive
5128,positive
2751,positive
2136,positive
2785,positive
4028,positive
1276,positive
5090,positive
3282,positive
2891,positive
1690,positive
4634,positive
1617,positive
4872,positive
981,positive
3199,positive
3421,positive
350,positive
2859,positive
1618,positive
3303,positive
1585,positive
816,positive
3558,positive
4406,positive
3101,positive
2159,positive
2132,positive
4479,positive
2041,positive
707,positive
3913,positive
395,positive
2588,positive
4099,positive
2090,positive
5052,positive
3741,positive
3364,positive
2168,positive
3121,positive
4776,positive
3379,positive
761,positive
3396,positive
4015,positive
3531,positive
1519,positive
4014,positive
3590,positive
4987,positive
2321,positive
372,positive
4214,positive
1641,positive
3085,positive
149,positive
4636,positive
353,positive
1395,positive
4862,positive
1175,positive
4956,positive
1882,positive
1270,positive
3708,positive
5029,positive
3720,positive
659,positive
3791,positive
2778,positive
314,positive
1869,positive
148,positive
2938,positive
1366,positive
178,positive
1382,positive
2892,positive
4677,positive
4620,positive
2926,positive
833,positive
1024,positive
553,positive
4971,positive
1113,positive
4972,positive
4780,positive
471,positive
724,positive
4729,positive
