guid,tag,pred,diff
3971,positive,positive,False
3077,negative,negative,False
320,negative,negative,False
73,neutral,neutral,False
1954,positive,positive,False
1730,negative,negative,False
3681,positive,positive,False
1172,positive,positive,False
1414,positive,positive,False
3913,positive,positive,False
3155,negative,negative,False
5078,negative,negative,False
4699,positive,positive,False
170,positive,positive,False
1493,positive,positive,False
4226,positive,positive,False
3538,negative,negative,False
635,positive,positive,False
1328,positive,positive,False
2118,negative,negative,False
2673,negative,negative,False
4657,neutral,neutral,False
927,neutral,negative,True
329,positive,positive,False
3734,negative,negative,False
637,neutral,neutral,False
4304,negative,negative,False
4130,neutral,negative,True
3901,negative,negative,False
4356,negative,negative,False
4491,positive,positive,False
4167,negative,negative,False
4216,positive,positive,False
605,positive,positive,False
1673,positive,positive,False
4638,positive,positive,False
3606,positive,positive,False
4314,positive,positive,False
4723,positive,positive,False
4964,positive,positive,False
2994,positive,positive,False
4937,positive,positive,False
4339,positive,positive,False
29,positive,positive,False
3260,positive,positive,False
3493,positive,positive,False
3807,neutral,neutral,False
2535,positive,positive,False
2720,neutral,positive,True
2594,positive,positive,False
2454,neutral,neutral,False
4661,positive,positive,False
4104,positive,positive,False
3233,negative,negative,False
1157,negative,negative,False
1107,positive,positive,False
492,positive,positive,False
2718,negative,negative,False
4044,positive,positive,False
2161,positive,positive,False
1067,positive,positive,False
1110,positive,positive,False
502,neutral,positive,True
2998,negative,negative,False
4696,negative,negative,False
1138,negative,negative,False
926,positive,positive,False
4939,negative,negative,False
4422,negative,negative,False
1245,positive,positive,False
1792,positive,positive,False
2525,positive,positive,False
1540,negative,negative,False
1249,positive,positive,False
3772,negative,negative,False
71,positive,positive,False
2753,positive,positive,False
4153,negative,negative,False
3916,negative,negative,False
884,negative,negative,False
4142,neutral,neutral,False
3539,negative,negative,False
987,positive,positive,False
5031,positive,positive,False
2672,negative,negative,False
2808,positive,positive,False
1943,negative,negative,False
3601,positive,positive,False
610,positive,positive,False
3089,negative,positive,True
2872,positive,positive,False
548,positive,positive,False
3657,negative,negative,False
1979,positive,positive,False
1053,positive,positive,False
1653,positive,positive,False
2725,neutral,neutral,False
367,negative,negative,False
903,positive,positive,False
800,positive,positive,False
1984,positive,positive,False
1079,positive,positive,False
142,neutral,neutral,False
2425,positive,positive,False
376,negative,negative,False
837,negative,positive,True
4170,negative,negative,False
521,positive,positive,False
436,neutral,neutral,False
4389,negative,negative,False
3100,positive,positive,False
593,negative,negative,False
1222,positive,positive,False
251,positive,positive,False
4973,positive,positive,False
1287,positive,positive,False
535,positive,positive,False
2826,positive,positive,False
229,positive,positive,False
4275,positive,positive,False
736,positive,positive,False
4982,negative,negative,False
3247,negative,negative,False
392,negative,negative,False
4392,positive,positive,False
4162,positive,positive,False
821,positive,positive,False
3093,negative,negative,False
526,positive,positive,False
2886,positive,positive,False
4258,negative,negative,False
996,positive,positive,False
2982,negative,negative,False
4523,negative,negative,False
4412,positive,neutral,True
5049,negative,negative,False
2700,neutral,neutral,False
157,positive,positive,False
1404,negative,negative,False
3767,positive,positive,False
5054,positive,positive,False
2965,positive,negative,True
5062,negative,negative,False
1033,positive,positive,False
990,positive,positive,False
3667,negative,negative,False
345,negative,negative,False
3112,negative,negative,False
338,positive,positive,False
2669,positive,positive,False
1727,positive,positive,False
4607,positive,positive,False
113,positive,positive,False
717,positive,positive,False
2892,positive,positive,False
4176,positive,positive,False
4926,positive,positive,False
929,negative,negative,False
3147,negative,negative,False
880,negative,negative,False
4941,positive,positive,False
2087,negative,negative,False
1561,negative,negative,False
4756,negative,negative,False
539,negative,negative,False
4763,negative,negative,False
288,positive,positive,False
5025,negative,positive,True
3726,negative,negative,False
4614,positive,positive,False
1546,negative,negative,False
3314,negative,negative,False
3098,positive,positive,False
452,negative,negative,False
225,positive,positive,False
2079,positive,positive,False
1691,neutral,positive,True
504,positive,positive,False
1864,positive,positive,False
3575,negative,negative,False
465,positive,positive,False
714,positive,positive,False
4635,neutral,neutral,False
2715,positive,positive,False
2373,positive,positive,False
3723,negative,negative,False
4574,positive,positive,False
5122,positive,neutral,True
1800,neutral,neutral,False
4758,positive,positive,False
49,positive,positive,False
66,positive,positive,False
4955,positive,positive,False
3141,negative,negative,False
2510,positive,positive,False
164,negative,negative,False
2435,neutral,positive,True
3864,positive,positive,False
1419,neutral,neutral,False
1892,negative,negative,False
804,positive,positive,False
4196,negative,negative,False
4496,positive,positive,False
3675,positive,positive,False
3676,positive,positive,False
1456,positive,positive,False
1764,positive,positive,False
3242,positive,positive,False
4350,negative,negative,False
3178,positive,positive,False
1365,negative,negative,False
2977,positive,positive,False
216,positive,positive,False
1553,positive,positive,False
1432,positive,positive,False
3991,positive,positive,False
402,negative,negative,False
166,positive,positive,False
1530,negative,negative,False
4384,negative,negative,False
4742,positive,positive,False
4110,neutral,neutral,False
5089,negative,negative,False
197,positive,positive,False
5084,positive,positive,False
3202,neutral,neutral,False
4200,negative,negative,False
4279,positive,positive,False
3133,negative,negative,False
691,positive,positive,False
3387,positive,positive,False
3783,positive,positive,False
1315,positive,positive,False
4171,positive,positive,False
843,positive,positive,False
3563,negative,negative,False
3176,positive,positive,False
4209,positive,positive,False
1194,positive,positive,False
2014,positive,positive,False
3764,positive,positive,False
3257,negative,negative,False
696,positive,positive,False
2645,negative,negative,False
3956,negative,positive,True
2339,negative,negative,False
3074,positive,positive,False
1706,positive,positive,False
4120,positive,positive,False
1613,positive,positive,False
3562,negative,negative,False
1462,positive,positive,False
2605,negative,negative,False
4598,negative,negative,False
4993,positive,positive,False
337,positive,positive,False
3148,positive,positive,False
2336,positive,positive,False
4712,negative,negative,False
4818,negative,negative,False
4556,positive,positive,False
2675,negative,negative,False
5112,negative,negative,False
4236,positive,positive,False
569,positive,positive,False
1526,negative,negative,False
2724,neutral,neutral,False
1196,neutral,neutral,False
1270,positive,positive,False
3524,negative,negative,False
4194,negative,negative,False
2444,positive,positive,False
4610,positive,positive,False
1991,positive,positive,False
4548,positive,positive,False
3897,positive,positive,False
2374,neutral,neutral,False
3688,positive,positive,False
3603,positive,positive,False
2947,positive,positive,False
4934,positive,positive,False
3318,neutral,neutral,False
1225,positive,positive,False
1669,positive,positive,False
4420,negative,negative,False
4088,neutral,neutral,False
1017,positive,positive,False
983,positive,positive,False
4875,positive,positive,False
1211,positive,positive,False
3970,positive,positive,False
1094,positive,positive,False
653,positive,positive,False
3045,positive,negative,True
4045,positive,positive,False
1044,neutral,neutral,False
662,positive,positive,False
120,positive,positive,False
4233,positive,positive,False
2843,negative,negative,False
4951,positive,positive,False
3996,negative,negative,False
3545,negative,negative,False
22,negative,negative,False
28,positive,positive,False
732,negative,negative,False
2816,negative,negative,False
2732,neutral,neutral,False
1143,positive,positive,False
4093,positive,positive,False
2789,positive,positive,False
2167,negative,negative,False
1161,positive,positive,False
3162,positive,positive,False
718,neutral,neutral,False
21,positive,positive,False
632,negative,positive,True
1102,negative,negative,False
4881,positive,positive,False
4217,positive,positive,False
2060,neutral,neutral,False
4290,negative,negative,False
1955,negative,negative,False
1835,negative,negative,False
3674,neutral,neutral,False
3205,negative,negative,False
2065,positive,positive,False
2894,positive,positive,False
1221,positive,positive,False
4322,positive,positive,False
4324,positive,positive,False
1210,positive,positive,False
1837,neutral,neutral,False
1055,positive,positive,False
3437,positive,positive,False
3643,positive,positive,False
3596,positive,positive,False
976,positive,positive,False
564,positive,positive,False
3722,negative,positive,True
511,neutral,neutral,False
4732,positive,positive,False
733,positive,positive,False
3852,positive,negative,True
514,positive,positive,False
2387,negative,negative,False
5121,positive,positive,False
3175,negative,negative,False
4134,positive,positive,False
2950,negative,negative,False
4831,negative,negative,False
4031,positive,positive,False
578,positive,positive,False
177,positive,positive,False
4184,negative,negative,False
4584,negative,negative,False
3797,neutral,negative,True
1767,positive,positive,False
4468,neutral,neutral,False
4123,positive,positive,False
280,negative,negative,False
4382,positive,positive,False
1520,negative,negative,False
3482,negative,negative,False
1420,positive,positive,False
3789,positive,positive,False
665,positive,positive,False
788,neutral,neutral,False
4987,positive,positive,False
1158,negative,negative,False
1081,positive,positive,False
3661,negative,negative,False
2376,positive,positive,False
3468,positive,positive,False
5010,positive,positive,False
1275,positive,positive,False
710,positive,positive,False
1595,positive,positive,False
4432,positive,positive,False
295,positive,positive,False
1507,negative,negative,False
2751,positive,positive,False
2030,positive,positive,False
931,negative,negative,False
2036,positive,positive,False
3388,positive,positive,False
4160,negative,negative,False
984,neutral,neutral,False
4249,positive,positive,False
2552,neutral,negative,True
4027,positive,positive,False
2900,positive,positive,False
1972,negative,negative,False
410,positive,positive,False
1119,positive,positive,False
4787,positive,positive,False
742,positive,positive,False
1154,positive,positive,False
4096,positive,positive,False
2968,negative,negative,False
1967,negative,negative,False
1957,negative,negative,False
2706,negative,negative,False
979,positive,positive,False
993,neutral,neutral,False
3125,negative,positive,True
1872,neutral,neutral,False
161,positive,positive,False
4148,neutral,neutral,False
3122,positive,positive,False
2683,positive,positive,False
2447,neutral,neutral,False
5044,positive,positive,False
2739,positive,positive,False
1325,positive,positive,False
4901,negative,negative,False
2126,negative,positive,True
846,positive,positive,False
4423,negative,negative,False
2623,positive,positive,False
4793,positive,positive,False
3949,negative,negative,False
2143,neutral,neutral,False
3104,positive,positive,False
4848,negative,negative,False
4547,positive,positive,False
4888,negative,negative,False
2426,positive,positive,False
1569,positive,positive,False
1001,positive,positive,False
1078,negative,negative,False
1083,positive,positive,False
4761,positive,positive,False
603,positive,positive,False
1028,neutral,neutral,False
2542,positive,positive,False
1259,positive,positive,False
3323,positive,positive,False
2010,positive,positive,False
690,negative,negative,False
1618,positive,positive,False
5011,positive,positive,False
2043,positive,positive,False
5003,negative,negative,False
3544,negative,negative,False
781,positive,positive,False
1341,positive,positive,False
4869,positive,positive,False
1449,positive,positive,False
353,positive,positive,False
1214,positive,positive,False
2980,negative,negative,False
2101,positive,positive,False
2860,positive,positive,False
3850,negative,negative,False
5018,positive,positive,False
4159,negative,negative,False
4109,positive,positive,False
389,negative,negative,False
3282,positive,positive,False
4927,positive,positive,False
2648,positive,positive,False
3699,negative,negative,False
757,positive,positive,False
1330,positive,positive,False
3034,positive,positive,False
4495,positive,positive,False
1200,positive,positive,False
3461,positive,positive,False
3223,negative,negative,False
3811,positive,positive,False
3582,positive,positive,False
562,positive,positive,False
4529,positive,positive,False
5074,negative,negative,False
1082,positive,positive,False
5030,positive,positive,False
2604,positive,negative,True
2795,positive,positive,False
498,positive,positive,False
3598,positive,positive,False
925,positive,negative,True
256,positive,positive,False
701,negative,negative,False
1153,neutral,neutral,False
2091,negative,negative,False
2891,positive,positive,False
1888,positive,positive,False
2727,neutral,neutral,False
2136,positive,positive,False
722,positive,positive,False
516,neutral,neutral,False
1801,positive,positive,False
853,positive,positive,False
3890,positive,positive,False
889,positive,positive,False
2319,neutral,neutral,False
4326,positive,positive,False
734,positive,positive,False
4764,negative,negative,False
1295,positive,positive,False
268,positive,positive,False
5079,positive,positive,False
941,positive,positive,False
3529,neutral,neutral,False
4254,positive,positive,False
3728,negative,negative,False
2168,positive,positive,False
5047,positive,positive,False
5026,positive,positive,False
820,positive,positive,False
68,positive,positive,False
2617,negative,negative,False
3936,positive,positive,False
4465,negative,negative,False
1422,positive,positive,False
5086,negative,negative,False
4704,positive,positive,False
316,negative,negative,False
3841,positive,positive,False
3592,positive,positive,False
4021,positive,positive,False
3182,positive,positive,False
536,positive,positive,False
3623,positive,positive,False
975,positive,positive,False
4791,positive,positive,False
707,positive,positive,False
1811,negative,negative,False
2865,negative,negative,False
4849,negative,negative,False
3926,positive,positive,False
3727,negative,negative,False
2862,neutral,neutral,False
4835,positive,positive,False
3983,positive,negative,True
2494,positive,positive,False
3113,positive,positive,False
1676,negative,negative,False
995,positive,positive,False
1965,positive,positive,False
3857,positive,positive,False
2850,positive,positive,False
3794,neutral,neutral,False
468,positive,positive,False
802,negative,negative,False
451,negative,negative,False
5005,negative,negative,False
1320,positive,positive,False
4830,negative,negative,False
966,positive,positive,False
4158,negative,negative,False
1658,positive,positive,False
655,positive,positive,False
4841,negative,negative,False
828,neutral,neutral,False
4004,negative,negative,False
3742,positive,positive,False
4770,positive,positive,False
1156,negative,negative,False
4769,positive,positive,False
597,negative,negative,False
3867,negative,negative,False
1939,positive,positive,False
1687,positive,positive,False
1555,positive,positive,False
84,positive,positive,False
894,positive,positive,False
4395,negative,negative,False
3470,positive,positive,False
2011,positive,positive,False
1357,positive,positive,False
3932,positive,positive,False
5119,positive,positive,False
5103,positive,positive,False
328,positive,positive,False
485,negative,negative,False
1208,positive,positive,False
1832,negative,negative,False
4128,positive,positive,False
1683,positive,positive,False
4086,neutral,neutral,False
934,negative,negative,False
318,negative,positive,True
393,positive,positive,False
5028,neutral,neutral,False
4073,negative,negative,False
2366,neutral,neutral,False
3708,positive,positive,False
2783,negative,negative,False
2875,neutral,neutral,False
3420,negative,negative,False
612,positive,positive,False
1523,positive,positive,False
1570,positive,positive,False
512,positive,positive,False
783,negative,negative,False
2503,positive,positive,False
4991,positive,positive,False
3664,negative,negative,False
874,negative,negative,False
315,positive,positive,False
4301,negative,negative,False
5093,positive,positive,False
1884,neutral,neutral,False
2002,negative,negative,False
1176,positive,positive,False
2695,positive,positive,False
3989,negative,negative,False
3732,negative,negative,False
3555,negative,negative,False
2441,positive,positive,False
69,negative,negative,False
3703,neutral,neutral,False
2713,neutral,neutral,False
2961,negative,negative,False
95,positive,positive,False
1380,negative,negative,False
3522,negative,negative,False
3037,positive,positive,False
4241,positive,positive,False
3640,positive,positive,False
1187,positive,positive,False
1585,positive,positive,False
4850,negative,negative,False
1137,positive,positive,False
1240,positive,positive,False
2670,negative,negative,False
3506,positive,positive,False
1278,neutral,positive,True
153,negative,positive,True
5016,positive,positive,False
3587,positive,positive,False
3536,negative,negative,False
102,positive,positive,False
118,negative,negative,False
2806,positive,positive,False
866,negative,negative,False
3278,negative,negative,False
1976,positive,positive,False
1748,positive,positive,False
2371,neutral,neutral,False
688,positive,positive,False
3249,positive,positive,False
3481,positive,positive,False
4573,positive,positive,False
3101,positive,positive,False
1605,positive,positive,False
860,positive,positive,False
3855,positive,positive,False
3115,positive,positive,False
1470,positive,positive,False
1786,positive,positive,False
4133,positive,positive,False
1002,positive,positive,False
2462,negative,negative,False
981,positive,positive,False
997,positive,positive,False
625,negative,negative,False
2692,negative,negative,False
4602,negative,negative,False
2799,positive,positive,False
304,positive,positive,False
1975,positive,positive,False
4938,negative,negative,False
1515,negative,positive,True
3208,positive,positive,False
4641,positive,positive,False
4238,positive,positive,False
592,positive,positive,False
5118,positive,positive,False
2529,positive,positive,False
4672,positive,positive,False
4600,positive,positive,False
3583,negative,negative,False
5036,positive,positive,False
3502,positive,positive,False
3736,negative,negative,False
3860,positive,positive,False
825,neutral,neutral,False
3787,negative,negative,False
3019,positive,positive,False
770,positive,positive,False
1131,positive,positive,False
4447,positive,positive,False
281,positive,positive,False
3488,negative,negative,False
858,positive,negative,True
3974,positive,positive,False
322,positive,positive,False
1739,negative,negative,False
868,neutral,neutral,False
965,negative,negative,False
4711,negative,negative,False
408,positive,positive,False
4749,positive,positive,False
4663,positive,positive,False
835,positive,positive,False
3589,positive,positive,False
2791,positive,positive,False
4391,positive,positive,False
3673,neutral,neutral,False
2108,positive,positive,False
75,negative,negative,False
1535,positive,negative,True
3332,negative,negative,False
83,positive,positive,False
1413,negative,negative,False
2964,positive,positive,False
2613,positive,positive,False
2561,neutral,neutral,False
3426,negative,negative,False
2459,neutral,neutral,False
1558,positive,positive,False
3380,neutral,neutral,False
621,neutral,neutral,False
56,neutral,negative,True
1362,negative,negative,False
2782,positive,positive,False
1745,positive,positive,False
1024,positive,positive,False
1925,positive,positive,False
4337,negative,negative,False
1487,positive,positive,False
1726,positive,positive,False
2663,negative,negative,False
4042,positive,positive,False
2074,positive,positive,False
1932,negative,negative,False
148,positive,positive,False
4701,positive,positive,False
1386,negative,negative,False
4788,positive,positive,False
2313,negative,negative,False
3416,negative,negative,False
4426,positive,positive,False
1689,negative,negative,False
1264,negative,negative,False
4861,positive,positive,False
1781,neutral,neutral,False
4012,positive,positive,False
1617,positive,positive,False
1438,positive,positive,False
1784,negative,negative,False
3829,neutral,neutral,False
4446,negative,negative,False
891,positive,positive,False
2773,positive,positive,False
2081,positive,positive,False
832,negative,negative,False
2809,negative,negative,False
4781,negative,negative,False
3430,negative,negative,False
2726,neutral,neutral,False
3577,neutral,neutral,False
4048,negative,negative,False
4899,positive,positive,False
729,positive,positive,False
669,neutral,neutral,False
3924,negative,negative,False
1640,positive,positive,False
2923,negative,negative,False
865,neutral,neutral,False
3347,negative,negative,False
4443,positive,positive,False
3987,positive,positive,False
525,positive,positive,False
4731,positive,positive,False
4263,positive,positive,False
1141,positive,positive,False
1826,positive,positive,False
3207,negative,negative,False
2883,positive,positive,False
1056,negative,negative,False
4958,negative,negative,False
3785,negative,negative,False
1948,negative,negative,False
3677,positive,positive,False
4666,positive,positive,False
2967,positive,positive,False
1277,positive,positive,False
85,neutral,neutral,False
928,negative,negative,False
3173,positive,positive,False
2641,negative,negative,False
2978,positive,positive,False
4298,negative,negative,False
378,positive,positive,False
3384,neutral,neutral,False
3541,positive,positive,False
4923,negative,negative,False
4780,positive,positive,False
2938,positive,positive,False
1444,negative,negative,False
4583,positive,positive,False
3840,positive,positive,False
147,positive,positive,False
4593,negative,negative,False
4095,neutral,neutral,False
3903,positive,positive,False
1374,positive,positive,False
1886,negative,negative,False
4440,negative,negative,False
4320,positive,positive,False
39,neutral,neutral,False
433,neutral,neutral,False
1043,positive,positive,False
1255,positive,positive,False
3863,positive,positive,False
4119,neutral,neutral,False
385,negative,negative,False
2842,negative,negative,False
676,negative,negative,False
1389,negative,negative,False
3229,positive,positive,False
2593,positive,positive,False
1614,positive,positive,False
3809,positive,positive,False
3105,negative,negative,False
845,positive,positive,False
293,positive,positive,False
2471,positive,positive,False
1755,negative,negative,False
4829,negative,negative,False
2312,negative,negative,False
472,positive,positive,False
3255,positive,positive,False
902,positive,positive,False
1588,positive,positive,False
277,positive,positive,False
4174,positive,positive,False
1063,positive,positive,False
3693,neutral,neutral,False
3263,positive,positive,False
4321,positive,positive,False
2966,positive,positive,False
227,positive,positive,False
3740,positive,positive,False
1230,positive,positive,False
624,positive,positive,False
4214,positive,positive,False
3428,positive,positive,False
4080,neutral,neutral,False
2926,positive,positive,False
3418,positive,positive,False
2931,negative,negative,False
579,positive,positive,False
3557,negative,negative,False
4161,negative,negative,False
3816,positive,positive,False
4868,positive,positive,False
2711,positive,positive,False
3776,negative,negative,False
3768,negative,negative,False
771,positive,negative,True
4855,negative,negative,False
3573,positive,positive,False
706,positive,positive,False
3912,positive,positive,False
3527,positive,positive,False
1749,positive,positive,False
3032,positive,positive,False
4524,neutral,neutral,False
2321,positive,neutral,True
2070,negative,negative,False
1273,positive,positive,False
4778,positive,positive,False
1838,negative,negative,False
503,positive,positive,False
3516,positive,positive,False
5076,negative,negative,False
789,positive,positive,False
3337,negative,negative,False
3118,positive,positive,False
3950,negative,negative,False
769,positive,positive,False
5052,positive,positive,False
1846,neutral,positive,True
2952,positive,positive,False
576,positive,positive,False
4953,positive,positive,False
3497,positive,positive,False
3294,positive,positive,False
4691,positive,positive,False
1113,positive,positive,False
1725,positive,positive,False
988,positive,positive,False
3782,negative,negative,False
1847,positive,positive,False
515,positive,positive,False
5100,positive,positive,False
3967,negative,negative,False
4609,positive,positive,False
1125,neutral,neutral,False
3209,positive,positive,False
822,positive,positive,False
888,positive,positive,False
4509,positive,positive,False
23,positive,positive,False
1439,positive,positive,False
473,negative,negative,False
4801,positive,neutral,True
1852,positive,positive,False
426,neutral,positive,True
1773,positive,positive,False
3792,negative,negative,False
4066,negative,negative,False
1692,neutral,negative,True
3353,negative,negative,False
974,positive,positive,False
2109,positive,positive,False
1038,positive,positive,False
4256,positive,positive,False
3718,positive,positive,False
1934,positive,positive,False
248,negative,negative,False
3892,negative,negative,False
4436,positive,positive,False
1915,positive,positive,False
4908,negative,negative,False
4629,negative,positive,True
4736,positive,positive,False
5041,positive,positive,False
3029,positive,positive,False
3965,positive,positive,False
4538,positive,positive,False
4563,neutral,neutral,False
215,positive,positive,False
1855,negative,negative,False
619,positive,positive,False
4323,positive,positive,False
4525,negative,negative,False
2040,negative,negative,False
577,positive,positive,False
3349,positive,positive,False
2340,negative,negative,False
4181,positive,positive,False
604,positive,positive,False
519,positive,positive,False
3812,positive,positive,False
1237,positive,positive,False
1193,neutral,neutral,False
1668,positive,positive,False
3646,positive,positive,False
425,negative,negative,False
4565,positive,positive,False
1857,negative,negative,False
3763,positive,positive,False
847,neutral,neutral,False
4151,neutral,neutral,False
4561,positive,positive,False
946,positive,positive,False
2812,negative,negative,False
2364,positive,negative,True
1970,positive,positive,False
1477,positive,positive,False
2960,negative,negative,False
93,negative,negative,False
2112,positive,positive,False
4809,positive,positive,False
1575,negative,negative,False
185,positive,positive,False
3164,negative,negative,False
1421,positive,positive,False
1766,positive,positive,False
801,positive,positive,False
369,positive,positive,False
2501,positive,positive,False
3843,positive,positive,False
2327,positive,positive,False
3526,positive,positive,False
2009,positive,positive,False
2661,positive,positive,False
1009,positive,positive,False
3076,neutral,neutral,False
3600,positive,positive,False
4949,negative,negative,False
1206,positive,positive,False
5064,negative,negative,False
1467,positive,positive,False
340,neutral,neutral,False
4745,negative,negative,False
3808,neutral,neutral,False
2540,positive,positive,False
3744,positive,positive,False
1869,positive,positive,False
4700,negative,negative,False
3036,positive,positive,False
4800,positive,negative,True
1130,positive,positive,False
606,negative,negative,False
3915,negative,positive,True
3942,negative,negative,False
2984,neutral,neutral,False
1433,positive,positive,False
1396,negative,negative,False
217,positive,positive,False
4834,negative,negative,False
752,neutral,neutral,False
1377,positive,positive,False
1075,positive,positive,False
182,positive,positive,False
2898,negative,negative,False
523,positive,positive,False
1582,positive,positive,False
2039,negative,negative,False
4262,negative,negative,False
3330,neutral,neutral,False
228,positive,positive,False
3340,positive,positive,False
2559,positive,positive,False
759,positive,positive,False
681,positive,positive,False
4131,positive,positive,False
2562,positive,positive,False
2656,positive,positive,False
970,positive,positive,False
457,negative,negative,False
2023,positive,positive,False
1282,neutral,neutral,False
1998,positive,positive,False
4460,positive,positive,False
4564,positive,positive,False
72,negative,negative,False
3465,positive,positive,False
1790,positive,positive,False
1647,positive,positive,False
3017,neutral,neutral,False
1698,negative,negative,False
131,negative,negative,False
5056,positive,positive,False
4343,negative,negative,False
3116,positive,positive,False
3700,positive,positive,False
360,positive,positive,False
2838,positive,positive,False
1799,positive,positive,False
3721,negative,negative,False
4980,negative,negative,False
4260,positive,negative,True
4659,positive,positive,False
693,neutral,neutral,False
4554,positive,positive,False
5081,negative,negative,False
201,negative,negative,False
368,positive,positive,False
3091,positive,positive,False
2665,neutral,neutral,False
3929,positive,positive,False
2086,positive,positive,False
359,positive,positive,False
3405,negative,negative,False
3232,positive,positive,False
870,neutral,positive,True
2500,positive,positive,False
2361,neutral,neutral,False
879,positive,positive,False
3390,positive,positive,False
3269,positive,positive,False
3743,positive,positive,False
347,negative,negative,False
2687,neutral,neutral,False
2152,positive,positive,False
3412,negative,negative,False
2699,negative,negative,False
4463,neutral,neutral,False
1902,negative,negative,False
169,negative,negative,False
2514,negative,negative,False
4558,neutral,neutral,False
3275,positive,positive,False
510,positive,positive,False
904,positive,positive,False
1685,positive,positive,False
3796,positive,positive,False
4664,positive,positive,False
1978,negative,negative,False
833,positive,positive,False
437,neutral,neutral,False
1004,positive,positive,False
1164,positive,positive,False
3041,neutral,neutral,False
278,positive,positive,False
713,positive,positive,False
2916,neutral,neutral,False
2615,neutral,neutral,False
4091,neutral,neutral,False
3030,positive,positive,False
300,positive,positive,False
1279,neutral,positive,True
274,positive,positive,False
4928,positive,positive,False
2323,positive,positive,False
4269,negative,negative,False
2498,positive,positive,False
2547,negative,negative,False
241,positive,positive,False
3866,neutral,neutral,False
2749,positive,positive,False
1623,positive,positive,False
799,positive,positive,False
1929,negative,negative,False
3878,negative,negative,False
1335,positive,positive,False
4705,negative,negative,False
3267,neutral,neutral,False
3219,positive,positive,False
1531,positive,positive,False
1716,positive,positive,False
2048,positive,positive,False
545,positive,positive,False
2841,negative,negative,False
1289,positive,positive,False
1598,positive,positive,False
1829,negative,negative,False
614,neutral,negative,True
571,positive,positive,False
5015,positive,positive,False
3920,neutral,neutral,False
2710,neutral,neutral,False
1434,positive,positive,False
2589,positive,positive,False
427,positive,positive,False
3658,positive,positive,False
2446,positive,positive,False
2719,positive,positive,False
1853,neutral,neutral,False
4906,positive,positive,False
1833,positive,positive,False
4370,negative,negative,False
3217,positive,positive,False
3059,positive,positive,False
4866,negative,negative,False
3561,positive,positive,False
57,positive,positive,False
154,positive,positive,False
3193,negative,positive,True
3725,positive,positive,False
398,negative,negative,False
416,positive,neutral,True
4569,negative,negative,False
3477,positive,positive,False
4360,negative,negative,False
1543,negative,negative,False
435,positive,positive,False
3080,negative,negative,False
2774,negative,negative,False
4588,positive,positive,False
1104,neutral,positive,True
1763,positive,positive,False
